timestamp,round,token,context
2025-01-17T22:08:22.685157,1,BTC,Round 1 discussion
2025-01-17T22:08:22.685157,1,ETH,Round 1 discussion
2025-01-17T22:15:37.254750,1,BTC,Round 1 discussion
2025-01-17T22:15:37.254750,1,ETH,Round 1 discussion
2025-01-17T22:18:12.682140,1,BTC,Round 1 discussion
2025-01-17T22:18:12.682140,1,ETH,Round 1 discussion
2025-01-17T22:26:23.632313,1,BTC,Round 1 discussion
2025-01-17T22:26:23.632313,1,ETH,Round 1 discussion
2025-01-17T22:36:23.465942,1,BTC,Round 1 discussion
2025-01-17T22:36:23.465942,1,ETH,Round 1 discussion
2025-01-17T22:45:36.876599,1,BTC,Round 1 discussion
2025-01-17T22:45:36.876599,1,ETH,Round 1 discussion
2025-01-17T22:46:34.149028,1,BTC,Round 1 discussion
2025-01-17T22:46:34.150024,1,ETH,Round 1 discussion
2025-01-17T22:49:20.404372,1,BTC,Round 1 discussion
2025-01-17T22:49:20.404372,1,ETH,Round 1 discussion
